 Deff   Wavelength  Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10        08.20  1.8628757000e+00  4.0550601500e-01  1.4573696850e+00  7.8232255915e-01  2.8320736700e+02  1.8880576200e+03  8.5644510694e-01
   10        08.30  1.8313652300e+00  3.9805090400e-01  1.4333143260e+00  7.8264799534e-01  2.8320736700e+02  1.8880576200e+03  8.5560691949e-01
   10        08.40  1.8008114100e+00  3.9063751700e-01  1.4101738930e+00  7.8307694252e-01  2.8320736700e+02  1.8880576200e+03  8.5468176552e-01
   10        08.50  1.7714147600e+00  3.8337889300e-01  1.3880358670e+00  7.8357474395e-01  2.8320736700e+02  1.8880576200e+03  8.5373682232e-01
   10        08.60  1.7317788600e+00  3.7773808800e-01  1.3540407720e+00  7.8187856618e-01  2.8320736700e+02  1.8880576200e+03  8.5306321729e-01
   10        08.70  1.6832834500e+00  3.7441417600e-01  1.3088692740e+00  7.7756914559e-01  2.8320736700e+02  1.8880576200e+03  8.5235280471e-01
   10        08.80  1.6339314000e+00  3.7197747800e-01  1.2619539220e+00  7.7234204692e-01  2.8320736700e+02  1.8880576200e+03  8.5177577376e-01
   10        08.90  1.5840427900e+00  3.6940494200e-01  1.2146378480e+00  7.6679610909e-01  2.8320736700e+02  1.8880576200e+03  8.5124388678e-01
   10        09.00  1.5353186100e+00  3.6694139200e-01  1.1683772180e+00  7.6099984094e-01  2.8320736700e+02  1.8880576200e+03  8.5087166202e-01
   10        09.10  1.4878920300e+00  3.6469924400e-01  1.1231927860e+00  7.5488863664e-01  2.8320736700e+02  1.8880576200e+03  8.5063867175e-01
   10        09.20  1.4417840200e+00  3.6252260200e-01  1.0792614180e+00  7.4855970314e-01  2.8320736700e+02  1.8880576200e+03  8.5060055978e-01
   10        09.30  1.3965365900e+00  3.6024028100e-01  1.0362963090e+00  7.4204737378e-01  2.8320736700e+02  1.8880576200e+03  8.5077526431e-01
   10        09.40  1.3507202900e+00  3.5823777300e-01  9.9248251700e-01  7.3478019420e-01  2.8320736700e+02  1.8880576200e+03  8.5127055278e-01
   10        09.50  1.3066712600e+00  3.5611692100e-01  9.5055433900e-01  7.2746249810e-01  2.8320736700e+02  1.8880576200e+03  8.5189955220e-01
   10        09.60  1.2425609800e+00  3.6284288800e-01  8.7971809200e-01  7.0798786229e-01  2.8320736700e+02  1.8880576200e+03  8.5233704732e-01
   10        09.70  1.1782735600e+00  3.6881560100e-01  8.0945795900e-01  6.8698644057e-01  2.8320736700e+02  1.8880576200e+03  8.5311402012e-01
   10        09.80  1.1151511700e+00  3.7492269300e-01  7.4022847700e-01  6.6379204624e-01  2.8320736700e+02  1.8880576200e+03  8.5385909108e-01
   10        09.90  1.0519560600e+00  3.8100275400e-01  6.7095330600e-01  6.3781495398e-01  2.8320736700e+02  1.8880576200e+03  8.5555670829e-01
   10        10.00  9.8917913400e-01  3.8713792000e-01  6.0204121400e-01  6.0862708614e-01  2.8320736700e+02  1.8880576200e+03  8.5737347945e-01
   10        10.10  9.4324934500e-01  4.1847491300e-01  5.2477443200e-01  5.5634751806e-01  2.8320736700e+02  1.8880576200e+03  8.6067072025e-01
   10        10.20  8.9798688900e-01  4.4938850400e-01  4.4859838500e-01  4.9956006095e-01  2.8320736700e+02  1.8880576200e+03  8.6388142035e-01
   10        10.30  8.5499149600e-01  4.8005646500e-01  3.7493503100e-01  4.3852486575e-01  2.8320736700e+02  1.8880576200e+03  8.6799853866e-01
   10        10.40  8.4717690900e-01  5.2343022800e-01  3.2374668100e-01  3.8214766899e-01  2.8320736700e+02  1.8880576200e+03  8.7088231184e-01
