 Deff   Wavelength   Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10    1.0990000	 2.2348134500e+00  2.1346776300e-04  2.2345999822e+00  9.9990448072e-01  5.6478466000e+01  3.7649151600e+02  8.2615602365e-01
   10    1.1110000	 2.2367055400e+00  2.5792871000e-04  2.2364476113e+00  9.9988468365e-01  5.6478466000e+01  3.7649154700e+02  8.2557744915e-01
   10    1.1240000	 2.2387509300e+00  3.5976711700e-04  2.2383911629e+00  9.9983930007e-01  5.6478466000e+01  3.7649154700e+02  8.2495194004e-01
   10    1.1360000	 2.2409970800e+00  6.4658589000e-04  2.2403504941e+00  9.9971147401e-01  5.6478466000e+01  3.7649151600e+02  8.2463885740e-01
   10    1.1490000	 2.2429781000e+00  1.1324198000e-03  2.2418456802e+00  9.9949512668e-01  5.6478466000e+01  3.7649151600e+02  8.2407032927e-01
   10    1.1630000	 2.2451071700e+00  1.3700390700e-03  2.2437371309e+00  9.9938976674e-01  5.6478466000e+01  3.7649151600e+02  8.2341377197e-01
   10    1.1760000	 2.2470777000e+00  1.4277659400e-03  2.2456499341e+00  9.9936461212e-01  5.6478466000e+01  3.7649154700e+02  8.2277749376e-01
   10    1.1900000	 2.2490263000e+00  1.4299385900e-03  2.2475963614e+00  9.9936419659e-01  5.6478466000e+01  3.7649154700e+02  8.2252888363e-01
   10    1.2050000	 2.2512767300e+00  1.4360889300e-03  2.2498406411e+00  9.9936210022e-01  5.6478466000e+01  3.7649151600e+02  8.2177278024e-01
   10    1.2200000	 2.2535159600e+00  1.3950401900e-03  2.2521209198e+00  9.9938094950e-01  5.6478466000e+01  3.7649151600e+02  8.2100363374e-01
   10    1.2350000	 2.2557437400e+00  1.3432969600e-03  2.2544004430e+00  9.9940449931e-01  5.6478466000e+01  3.7649154700e+02  8.2022583308e-01
   10    1.2500000	 2.2579593700e+00  1.2697511100e-03  2.2566896189e+00  9.9943765547e-01  5.6478466000e+01  3.7649154700e+02  8.1943826522e-01
   10    1.2660000	 2.2612779100e+00  1.2098929100e-03  2.2600680171e+00  9.9946495170e-01  5.6478466000e+01  3.7649151600e+02  8.1861396167e-01
   10    1.2820000	 2.2636153700e+00  1.2734257600e-03  2.2623419442e+00  9.9943743722e-01  5.6478466000e+01  3.7649154700e+02  8.1777156431e-01
   10    1.2990000	 2.2660784700e+00  1.5091032300e-03  2.2645693668e+00  9.9933404635e-01  5.6478466000e+01  3.7649151600e+02  8.1688839301e-01
